"","STL","ATL","Series Winner"
"21479","1","3","ATL"
"21480","3","0","STL"
"21481","2","3","ATL"
"21482","3","0","STL"
"21483","2","3","ATL"
"21484","2","3","ATL"
"21485","0","3","ATL"
"21486","1","3","ATL"
"21487","2","3","ATL"
"21488","0","3","ATL"
"21489","2","3","ATL"
"21490","0","3","ATL"
"21491","2","3","ATL"
"21492","0","3","ATL"
"21493","3","1","STL"
"21494","3","1","STL"
"21495","1","3","ATL"
"21496","1","3","ATL"
"21497","3","2","STL"
"21498","3","2","STL"
"21499","3","2","STL"
"21500","3","0","STL"
"21501","2","3","ATL"
"21502","1","3","ATL"
"21503","3","2","STL"
"21504","1","3","ATL"
"21505","3","1","STL"
"21506","3","2","STL"
"21507","3","1","STL"
"21508","3","1","STL"
"21509","2","3","ATL"
"21510","3","1","STL"
"21511","2","3","ATL"
"21512","0","3","ATL"
"21513","3","0","STL"
"21514","3","2","STL"
"21515","0","3","ATL"
"21516","1","3","ATL"
"21517","3","2","STL"
"21518","2","3","ATL"
"21519","1","3","ATL"
"21520","1","3","ATL"
"21521","1","3","ATL"
"21522","2","3","ATL"
"21523","3","0","STL"
"21524","3","2","STL"
"21525","1","3","ATL"
"21526","1","3","ATL"
"21527","2","3","ATL"
"21528","3","2","STL"
"21529","0","3","ATL"
"21530","0","3","ATL"
"21531","3","1","STL"
"21532","1","3","ATL"
"21533","2","3","ATL"
"21534","1","3","ATL"
"21535","3","1","STL"
"21536","2","3","ATL"
"21537","3","1","STL"
"21538","0","3","ATL"
"21539","3","2","STL"
"21540","0","3","ATL"
"21541","2","3","ATL"
"21542","0","3","ATL"
"21543","3","0","STL"
"21544","3","2","STL"
"21545","2","3","ATL"
"21546","3","0","STL"
"21547","2","3","ATL"
"21548","1","3","ATL"
"21549","0","3","ATL"
"21550","1","3","ATL"
"21551","3","0","STL"
"21552","0","3","ATL"
"21553","3","0","STL"
"21554","2","3","ATL"
"21555","0","3","ATL"
"21556","1","3","ATL"
"21557","3","2","STL"
"21558","2","3","ATL"
"21559","3","1","STL"
"21560","2","3","ATL"
"21561","2","3","ATL"
"21562","3","2","STL"
"21563","2","3","ATL"
"21564","3","2","STL"
"21565","1","3","ATL"
"21566","3","0","STL"
"21567","1","3","ATL"
"21568","0","3","ATL"
"21569","1","3","ATL"
"21570","0","3","ATL"
"21571","3","2","STL"
"21572","1","3","ATL"
"21573","2","3","ATL"
"21574","3","2","STL"
"21575","2","3","ATL"
"21576","1","3","ATL"
"21577","1","3","ATL"
"21578","1","3","ATL"
"21579","3","2","STL"
"21580","2","3","ATL"
"21581","3","1","STL"
"21582","2","3","ATL"
"21583","3","2","STL"
"21584","0","3","ATL"
"21585","2","3","ATL"
"21586","1","3","ATL"
"21587","2","3","ATL"
"21588","0","3","ATL"
"21589","2","3","ATL"
"21590","3","1","STL"
"21591","3","1","STL"
"21592","3","0","STL"
"21593","3","2","STL"
"21594","0","3","ATL"
"21595","3","1","STL"
"21596","3","1","STL"
"21597","2","3","ATL"
"21598","1","3","ATL"
"21599","0","3","ATL"
"21600","0","3","ATL"
"21601","1","3","ATL"
"21602","1","3","ATL"
"21603","2","3","ATL"
"21604","3","2","STL"
"21605","2","3","ATL"
"21606","3","1","STL"
"21607","0","3","ATL"
"21608","0","3","ATL"
"21609","2","3","ATL"
"21610","0","3","ATL"
"21611","1","3","ATL"
"21612","1","3","ATL"
"21613","3","2","STL"
"21614","2","3","ATL"
"21615","3","0","STL"
"21616","3","0","STL"
"21617","2","3","ATL"
"21618","0","3","ATL"
"21619","2","3","ATL"
"21620","3","2","STL"
"21621","3","2","STL"
"21622","1","3","ATL"
"21623","3","0","STL"
"21624","1","3","ATL"
"21625","1","3","ATL"
"21626","3","2","STL"
"21627","3","0","STL"
"21628","3","2","STL"
"21629","2","3","ATL"
"21630","1","3","ATL"
"21631","0","3","ATL"
"21632","3","1","STL"
"21633","3","2","STL"
"21634","3","1","STL"
"21635","3","2","STL"
"21636","2","3","ATL"
"21637","3","0","STL"
"21638","3","1","STL"
"21639","3","2","STL"
"21640","1","3","ATL"
"21641","1","3","ATL"
"21642","2","3","ATL"
"21643","0","3","ATL"
"21644","3","2","STL"
"21645","3","1","STL"
"21646","2","3","ATL"
"21647","2","3","ATL"
"21648","3","0","STL"
"21649","2","3","ATL"
"21650","3","0","STL"
"21651","2","3","ATL"
"21652","1","3","ATL"
"21653","3","1","STL"
"21654","2","3","ATL"
"21655","1","3","ATL"
"21656","3","0","STL"
"21657","2","3","ATL"
"21658","2","3","ATL"
"21659","3","1","STL"
"21660","0","3","ATL"
"21661","2","3","ATL"
"21662","2","3","ATL"
"21663","0","3","ATL"
"21664","2","3","ATL"
"21665","0","3","ATL"
"21666","2","3","ATL"
"21667","3","1","STL"
"21668","3","1","STL"
"21669","3","0","STL"
"21670","1","3","ATL"
"21671","3","1","STL"
"21672","1","3","ATL"
"21673","1","3","ATL"
"21674","0","3","ATL"
"21675","1","3","ATL"
"21676","0","3","ATL"
"21677","3","2","STL"
"21678","3","1","STL"
"21679","2","3","ATL"
"21680","0","3","ATL"
"21681","3","2","STL"
"21682","3","2","STL"
"21683","1","3","ATL"
"21684","1","3","ATL"
"21685","0","3","ATL"
"21686","3","2","STL"
"21687","3","2","STL"
"21688","3","1","STL"
"21689","2","3","ATL"
"21690","3","2","STL"
"21691","2","3","ATL"
"21692","3","0","STL"
"21693","2","3","ATL"
"21694","3","2","STL"
"21695","2","3","ATL"
"21696","3","1","STL"
"21697","3","0","STL"
"21698","3","2","STL"
"21699","3","0","STL"
"21700","1","3","ATL"
"21701","1","3","ATL"
"21702","3","0","STL"
"21703","2","3","ATL"
"21704","3","2","STL"
"21705","2","3","ATL"
"21706","2","3","ATL"
"21707","3","1","STL"
"21708","1","3","ATL"
"21709","2","3","ATL"
"21710","1","3","ATL"
"21711","3","2","STL"
"21712","2","3","ATL"
"21713","1","3","ATL"
"21714","1","3","ATL"
"21715","2","3","ATL"
"21716","2","3","ATL"
"21717","2","3","ATL"
"21718","0","3","ATL"
"21719","1","3","ATL"
"21720","1","3","ATL"
"21721","1","3","ATL"
"21722","2","3","ATL"
"21723","3","0","STL"
"21724","3","2","STL"
"21725","3","2","STL"
"21726","3","2","STL"
"21727","3","1","STL"
"21728","1","3","ATL"
"21729","2","3","ATL"
"21730","2","3","ATL"
"21731","2","3","ATL"
"21732","1","3","ATL"
"21733","1","3","ATL"
"21734","2","3","ATL"
"21735","2","3","ATL"
"21736","2","3","ATL"
"21737","1","3","ATL"
"21738","1","3","ATL"
"21739","3","1","STL"
"21740","1","3","ATL"
"21741","3","1","STL"
"21742","0","3","ATL"
"21743","3","2","STL"
"21744","2","3","ATL"
"21745","3","2","STL"
"21746","1","3","ATL"
"21747","3","0","STL"
"21748","0","3","ATL"
"21749","1","3","ATL"
"21750","3","0","STL"
"21751","3","1","STL"
"21752","3","1","STL"
"21753","1","3","ATL"
"21754","3","2","STL"
"21755","0","3","ATL"
"21756","3","1","STL"
"21757","2","3","ATL"
"21758","2","3","ATL"
"21759","2","3","ATL"
"21760","3","0","STL"
"21761","2","3","ATL"
"21762","3","2","STL"
"21763","3","2","STL"
"21764","3","1","STL"
"21765","3","1","STL"
"21766","3","1","STL"
"21767","1","3","ATL"
"21768","2","3","ATL"
"21769","3","2","STL"
"21770","1","3","ATL"
"21771","3","1","STL"
"21772","3","2","STL"
"21773","0","3","ATL"
"21774","0","3","ATL"
"21775","3","2","STL"
"21776","0","3","ATL"
"21777","0","3","ATL"
"21778","1","3","ATL"
"21779","0","3","ATL"
"21780","1","3","ATL"
"21781","3","2","STL"
"21782","3","2","STL"
"21783","1","3","ATL"
"21784","3","1","STL"
"21785","1","3","ATL"
"21786","3","0","STL"
"21787","0","3","ATL"
"21788","1","3","ATL"
"21789","1","3","ATL"
"21790","1","3","ATL"
"21791","3","0","STL"
"21792","2","3","ATL"
"21793","3","1","STL"
"21794","3","1","STL"
"21795","2","3","ATL"
"21796","2","3","ATL"
"21797","0","3","ATL"
"21798","2","3","ATL"
"21799","2","3","ATL"
"21800","2","3","ATL"
"21801","3","1","STL"
"21802","1","3","ATL"
"21803","3","1","STL"
"21804","3","0","STL"
"21805","0","3","ATL"
"21806","3","1","STL"
"21807","2","3","ATL"
"21808","3","2","STL"
"21809","3","0","STL"
"21810","1","3","ATL"
"21811","3","0","STL"
"21812","3","2","STL"
"21813","3","2","STL"
"21814","1","3","ATL"
"21815","3","1","STL"
"21816","1","3","ATL"
"21817","3","0","STL"
"21818","0","3","ATL"
"21819","0","3","ATL"
"21820","3","0","STL"
"21821","2","3","ATL"
"21822","2","3","ATL"
"21823","3","2","STL"
"21824","3","1","STL"
"21825","2","3","ATL"
"21826","0","3","ATL"
"21827","2","3","ATL"
"21828","3","0","STL"
"21829","3","2","STL"
"21830","1","3","ATL"
"21831","3","0","STL"
"21832","3","1","STL"
"21833","3","1","STL"
"21834","3","1","STL"
"21835","0","3","ATL"
"21836","2","3","ATL"
"21837","3","0","STL"
"21838","1","3","ATL"
"21839","1","3","ATL"
"21840","3","2","STL"
"21841","1","3","ATL"
"21842","3","1","STL"
"21843","2","3","ATL"
"21844","0","3","ATL"
"21845","3","2","STL"
"21846","2","3","ATL"
"21847","0","3","ATL"
"21848","1","3","ATL"
"21849","3","0","STL"
"21850","2","3","ATL"
"21851","0","3","ATL"
"21852","1","3","ATL"
"21853","0","3","ATL"
"21854","2","3","ATL"
"21855","3","1","STL"
"21856","0","3","ATL"
"21857","3","1","STL"
"21858","3","0","STL"
"21859","0","3","ATL"
"21860","3","2","STL"
"21861","0","3","ATL"
"21862","0","3","ATL"
"21863","3","1","STL"
"21864","0","3","ATL"
"21865","1","3","ATL"
"21866","3","1","STL"
"21867","3","2","STL"
"21868","0","3","ATL"
"21869","0","3","ATL"
"21870","1","3","ATL"
"21871","0","3","ATL"
"21872","3","1","STL"
"21873","2","3","ATL"
"21874","2","3","ATL"
"21875","1","3","ATL"
"21876","1","3","ATL"
"21877","0","3","ATL"
"21878","3","2","STL"
"21879","1","3","ATL"
"21880","0","3","ATL"
"21881","1","3","ATL"
"21882","0","3","ATL"
"21883","3","1","STL"
"21884","3","2","STL"
"21885","3","1","STL"
"21886","0","3","ATL"
"21887","2","3","ATL"
"21888","3","1","STL"
"21889","3","0","STL"
"21890","2","3","ATL"
"21891","3","0","STL"
"21892","3","2","STL"
"21893","1","3","ATL"
"21894","2","3","ATL"
"21895","1","3","ATL"
"21896","1","3","ATL"
"21897","3","2","STL"
"21898","0","3","ATL"
"21899","1","3","ATL"
"21900","1","3","ATL"
"21901","2","3","ATL"
"21902","3","1","STL"
"21903","0","3","ATL"
"21904","3","1","STL"
"21905","3","1","STL"
"21906","3","2","STL"
"21907","3","1","STL"
"21908","0","3","ATL"
"21909","3","2","STL"
"21910","3","2","STL"
"21911","3","2","STL"
"21912","2","3","ATL"
"21913","3","1","STL"
"21914","3","1","STL"
"21915","3","1","STL"
"21916","0","3","ATL"
"21917","1","3","ATL"
"21918","2","3","ATL"
"21919","3","0","STL"
"21920","3","0","STL"
"21921","3","0","STL"
"21922","0","3","ATL"
"21923","0","3","ATL"
"21924","3","2","STL"
"21925","2","3","ATL"
"21926","0","3","ATL"
"21927","3","2","STL"
"21928","3","0","STL"
"21929","1","3","ATL"
"21930","2","3","ATL"
"21931","0","3","ATL"
"21932","3","1","STL"
"21933","1","3","ATL"
"21934","2","3","ATL"
"21935","2","3","ATL"
"21936","0","3","ATL"
"21937","2","3","ATL"
"21938","3","0","STL"
"21939","3","2","STL"
"21940","3","1","STL"
"21941","3","1","STL"
"21942","2","3","ATL"
"21943","1","3","ATL"
"21944","0","3","ATL"
"21945","1","3","ATL"
"21946","0","3","ATL"
"21947","3","0","STL"
"21948","2","3","ATL"
"21949","1","3","ATL"
"21950","3","2","STL"
"21951","3","2","STL"
"21952","3","2","STL"
"21953","2","3","ATL"
"21954","2","3","ATL"
"21955","3","2","STL"
"21956","1","3","ATL"
"21957","3","1","STL"
"21958","2","3","ATL"
"21959","1","3","ATL"
"21960","3","2","STL"
"21961","3","2","STL"
"21962","3","1","STL"
"21963","0","3","ATL"
"21964","1","3","ATL"
"21965","2","3","ATL"
"21966","0","3","ATL"
"21967","3","1","STL"
"21968","1","3","ATL"
"21969","3","0","STL"
"21970","1","3","ATL"
"21971","3","0","STL"
"21972","2","3","ATL"
"21973","1","3","ATL"
"21974","1","3","ATL"
"21975","1","3","ATL"
"21976","3","2","STL"
"21977","1","3","ATL"
"21978","0","3","ATL"
"21979","3","0","STL"
"21980","1","3","ATL"
"21981","3","1","STL"
"21982","3","1","STL"
"21983","2","3","ATL"
"21984","3","2","STL"
"21985","2","3","ATL"
"21986","1","3","ATL"
"21987","3","1","STL"
"21988","3","0","STL"
"21989","3","0","STL"
"21990","1","3","ATL"
"21991","3","1","STL"
"21992","1","3","ATL"
"21993","2","3","ATL"
"21994","3","2","STL"
"21995","3","1","STL"
"21996","2","3","ATL"
"21997","0","3","ATL"
"21998","3","2","STL"
"21999","3","0","STL"
"22000","0","3","ATL"
"22001","1","3","ATL"
"22002","2","3","ATL"
"22003","0","3","ATL"
"22004","1","3","ATL"
"22005","1","3","ATL"
"22006","2","3","ATL"
"22007","2","3","ATL"
"22008","1","3","ATL"
"22009","3","2","STL"
"22010","2","3","ATL"
"22011","2","3","ATL"
"22012","0","3","ATL"
"22013","3","2","STL"
"22014","2","3","ATL"
"22015","1","3","ATL"
"22016","2","3","ATL"
"22017","2","3","ATL"
"22018","2","3","ATL"
"22019","1","3","ATL"
"22020","1","3","ATL"
"22021","2","3","ATL"
"22022","0","3","ATL"
"22023","3","0","STL"
"22024","1","3","ATL"
"22025","2","3","ATL"
"22026","0","3","ATL"
"22027","2","3","ATL"
"22028","3","2","STL"
"22029","2","3","ATL"
"22030","0","3","ATL"
"22031","3","2","STL"
"22032","0","3","ATL"
"22033","2","3","ATL"
"22034","3","1","STL"
"22035","1","3","ATL"
"22036","0","3","ATL"
"22037","2","3","ATL"
"22038","3","0","STL"
"22039","2","3","ATL"
"22040","3","2","STL"
"22041","3","2","STL"
"22042","1","3","ATL"
"22043","2","3","ATL"
"22044","2","3","ATL"
"22045","1","3","ATL"
"22046","3","0","STL"
"22047","1","3","ATL"
"22048","1","3","ATL"
"22049","2","3","ATL"
"22050","0","3","ATL"
"22051","3","2","STL"
"22052","3","1","STL"
"22053","1","3","ATL"
"22054","3","1","STL"
"22055","0","3","ATL"
"22056","1","3","ATL"
"22057","2","3","ATL"
"22058","3","2","STL"
"22059","3","1","STL"
"22060","1","3","ATL"
"22061","2","3","ATL"
"22062","1","3","ATL"
"22063","3","0","STL"
"22064","1","3","ATL"
"22065","3","2","STL"
"22066","3","0","STL"
"22067","2","3","ATL"
"22068","1","3","ATL"
"22069","3","2","STL"
"22070","3","1","STL"
"22071","0","3","ATL"
"22072","0","3","ATL"
"22073","3","0","STL"
"22074","2","3","ATL"
"22075","0","3","ATL"
"22076","3","1","STL"
"22077","3","1","STL"
"22078","3","0","STL"
"22079","0","3","ATL"
"22080","0","3","ATL"
"22081","3","2","STL"
"22082","3","0","STL"
"22083","3","1","STL"
"22084","2","3","ATL"
"22085","1","3","ATL"
"22086","3","0","STL"
"22087","3","2","STL"
"22088","3","2","STL"
"22089","2","3","ATL"
"22090","1","3","ATL"
"22091","1","3","ATL"
"22092","3","2","STL"
"22093","1","3","ATL"
"22094","3","0","STL"
"22095","2","3","ATL"
"22096","1","3","ATL"
"22097","1","3","ATL"
"22098","0","3","ATL"
"22099","1","3","ATL"
"22100","2","3","ATL"
"22101","2","3","ATL"
"22102","2","3","ATL"
"22103","0","3","ATL"
"22104","0","3","ATL"
"22105","0","3","ATL"
"22106","1","3","ATL"
"22107","1","3","ATL"
"22108","3","1","STL"
"22109","2","3","ATL"
"22110","0","3","ATL"
"22111","2","3","ATL"
"22112","1","3","ATL"
"22113","1","3","ATL"
"22114","2","3","ATL"
"22115","2","3","ATL"
"22116","3","2","STL"
"22117","3","1","STL"
"22118","2","3","ATL"
"22119","2","3","ATL"
"22120","1","3","ATL"
"22121","2","3","ATL"
"22122","2","3","ATL"
"22123","2","3","ATL"
"22124","0","3","ATL"
"22125","3","1","STL"
"22126","3","2","STL"
"22127","2","3","ATL"
"22128","3","2","STL"
"22129","3","0","STL"
"22130","3","1","STL"
"22131","1","3","ATL"
"22132","2","3","ATL"
"22133","2","3","ATL"
"22134","2","3","ATL"
"22135","2","3","ATL"
"22136","0","3","ATL"
"22137","3","0","STL"
"22138","2","3","ATL"
"22139","1","3","ATL"
"22140","2","3","ATL"
"22141","3","1","STL"
"22142","1","3","ATL"
"22143","3","2","STL"
"22144","1","3","ATL"
"22145","2","3","ATL"
"22146","1","3","ATL"
"22147","2","3","ATL"
"22148","3","2","STL"
"22149","0","3","ATL"
"22150","1","3","ATL"
"22151","3","1","STL"
"22152","1","3","ATL"
"22153","1","3","ATL"
"22154","1","3","ATL"
"22155","3","1","STL"
"22156","1","3","ATL"
"22157","3","2","STL"
"22158","2","3","ATL"
"22159","2","3","ATL"
"22160","3","1","STL"
"22161","1","3","ATL"
"22162","1","3","ATL"
"22163","3","0","STL"
"22164","2","3","ATL"
"22165","0","3","ATL"
"22166","2","3","ATL"
"22167","1","3","ATL"
"22168","3","1","STL"
"22169","3","1","STL"
"22170","3","2","STL"
"22171","0","3","ATL"
"22172","2","3","ATL"
"22173","3","2","STL"
"22174","1","3","ATL"
"22175","1","3","ATL"
"22176","1","3","ATL"
"22177","2","3","ATL"
"22178","2","3","ATL"
"22179","3","0","STL"
"22180","3","2","STL"
"22181","3","1","STL"
"22182","3","2","STL"
"22183","3","0","STL"
"22184","3","1","STL"
"22185","2","3","ATL"
"22186","1","3","ATL"
"22187","0","3","ATL"
"22188","0","3","ATL"
"22189","3","1","STL"
"22190","1","3","ATL"
"22191","2","3","ATL"
"22192","0","3","ATL"
"22193","1","3","ATL"
"22194","1","3","ATL"
"22195","1","3","ATL"
"22196","0","3","ATL"
"22197","1","3","ATL"
"22198","0","3","ATL"
"22199","2","3","ATL"
"22200","0","3","ATL"
"22201","0","3","ATL"
"22202","3","2","STL"
"22203","3","2","STL"
"22204","2","3","ATL"
"22205","1","3","ATL"
"22206","3","1","STL"
"22207","0","3","ATL"
"22208","3","0","STL"
"22209","3","2","STL"
"22210","3","1","STL"
"22211","1","3","ATL"
"22212","2","3","ATL"
"22213","3","1","STL"
"22214","3","1","STL"
"22215","3","2","STL"
"22216","1","3","ATL"
"22217","1","3","ATL"
"22218","1","3","ATL"
"22219","2","3","ATL"
"22220","3","1","STL"
"22221","1","3","ATL"
"22222","2","3","ATL"
"22223","1","3","ATL"
"22224","3","1","STL"
"22225","3","1","STL"
"22226","1","3","ATL"
"22227","3","2","STL"
"22228","2","3","ATL"
"22229","0","3","ATL"
"22230","1","3","ATL"
"22231","3","2","STL"
"22232","1","3","ATL"
"22233","2","3","ATL"
"22234","1","3","ATL"
"22235","1","3","ATL"
"22236","3","2","STL"
"22237","3","2","STL"
"22238","2","3","ATL"
"22239","3","0","STL"
"22240","3","0","STL"
"22241","1","3","ATL"
"22242","3","0","STL"
"22243","1","3","ATL"
"22244","3","1","STL"
"22245","3","0","STL"
"22246","1","3","ATL"
"22247","0","3","ATL"
"22248","2","3","ATL"
"22249","3","2","STL"
"22250","1","3","ATL"
"22251","0","3","ATL"
"22252","2","3","ATL"
"22253","3","1","STL"
"22254","3","1","STL"
"22255","2","3","ATL"
"22256","3","2","STL"
"22257","3","1","STL"
"22258","3","1","STL"
"22259","3","1","STL"
"22260","2","3","ATL"
"22261","0","3","ATL"
"22262","1","3","ATL"
"22263","1","3","ATL"
"22264","3","2","STL"
"22265","2","3","ATL"
"22266","1","3","ATL"
"22267","1","3","ATL"
"22268","3","2","STL"
"22269","2","3","ATL"
"22270","0","3","ATL"
"22271","3","2","STL"
"22272","1","3","ATL"
"22273","3","1","STL"
"22274","0","3","ATL"
"22275","1","3","ATL"
"22276","3","1","STL"
"22277","3","0","STL"
"22278","3","1","STL"
"22279","3","1","STL"
"22280","1","3","ATL"
"22281","0","3","ATL"
"22282","1","3","ATL"
"22283","1","3","ATL"
"22284","2","3","ATL"
"22285","3","2","STL"
"22286","2","3","ATL"
"22287","1","3","ATL"
"22288","2","3","ATL"
"22289","3","2","STL"
"22290","3","0","STL"
"22291","3","2","STL"
"22292","3","0","STL"
"22293","2","3","ATL"
"22294","1","3","ATL"
"22295","3","0","STL"
"22296","1","3","ATL"
"22297","2","3","ATL"
"22298","3","1","STL"
"22299","3","2","STL"
"22300","2","3","ATL"
"22301","2","3","ATL"
"22302","3","1","STL"
"22303","0","3","ATL"
"22304","0","3","ATL"
"22305","1","3","ATL"
"22306","1","3","ATL"
"22307","2","3","ATL"
"22308","3","0","STL"
"22309","3","2","STL"
"22310","2","3","ATL"
"22311","0","3","ATL"
"22312","3","1","STL"
"22313","3","2","STL"
"22314","2","3","ATL"
"22315","3","2","STL"
"22316","3","0","STL"
"22317","3","2","STL"
"22318","1","3","ATL"
"22319","0","3","ATL"
"22320","1","3","ATL"
"22321","1","3","ATL"
"22322","2","3","ATL"
"22323","2","3","ATL"
"22324","2","3","ATL"
"22325","1","3","ATL"
"22326","2","3","ATL"
"22327","2","3","ATL"
"22328","0","3","ATL"
"22329","3","2","STL"
"22330","0","3","ATL"
"22331","1","3","ATL"
"22332","1","3","ATL"
"22333","3","1","STL"
"22334","2","3","ATL"
"22335","0","3","ATL"
"22336","3","1","STL"
"22337","3","2","STL"
"22338","2","3","ATL"
"22339","3","1","STL"
"22340","3","0","STL"
"22341","1","3","ATL"
"22342","1","3","ATL"
"22343","1","3","ATL"
"22344","1","3","ATL"
"22345","3","2","STL"
"22346","2","3","ATL"
"22347","3","1","STL"
"22348","1","3","ATL"
"22349","3","2","STL"
"22350","2","3","ATL"
"22351","1","3","ATL"
"22352","1","3","ATL"
"22353","1","3","ATL"
"22354","3","0","STL"
"22355","1","3","ATL"
"22356","2","3","ATL"
"22357","2","3","ATL"
"22358","3","0","STL"
"22359","3","2","STL"
"22360","1","3","ATL"
"22361","1","3","ATL"
"22362","3","2","STL"
"22363","3","1","STL"
"22364","3","2","STL"
"22365","2","3","ATL"
"22366","2","3","ATL"
"22367","3","0","STL"
"22368","3","1","STL"
"22369","0","3","ATL"
"22370","2","3","ATL"
"22371","3","2","STL"
"22372","3","1","STL"
"22373","2","3","ATL"
"22374","0","3","ATL"
"22375","0","3","ATL"
"22376","3","2","STL"
"22377","2","3","ATL"
"22378","1","3","ATL"
"22379","3","2","STL"
"22380","2","3","ATL"
"22381","3","0","STL"
"22382","3","2","STL"
"22383","3","2","STL"
"22384","0","3","ATL"
"22385","0","3","ATL"
"22386","2","3","ATL"
"22387","3","1","STL"
"22388","3","1","STL"
"22389","3","1","STL"
"22390","3","2","STL"
"22391","3","2","STL"
"22392","3","0","STL"
"22393","3","2","STL"
"22394","1","3","ATL"
"22395","0","3","ATL"
"22396","3","1","STL"
"22397","1","3","ATL"
"22398","3","2","STL"
"22399","3","0","STL"
"22400","2","3","ATL"
"22401","2","3","ATL"
"22402","0","3","ATL"
"22403","1","3","ATL"
"22404","3","0","STL"
"22405","0","3","ATL"
"22406","3","2","STL"
"22407","2","3","ATL"
"22408","2","3","ATL"
"22409","3","2","STL"
"22410","1","3","ATL"
"22411","3","1","STL"
"22412","2","3","ATL"
"22413","0","3","ATL"
"22414","1","3","ATL"
"22415","2","3","ATL"
"22416","2","3","ATL"
"22417","3","1","STL"
"22418","1","3","ATL"
"22419","1","3","ATL"
"22420","3","2","STL"
"22421","2","3","ATL"
"22422","0","3","ATL"
"22423","3","2","STL"
"22424","3","0","STL"
"22425","0","3","ATL"
"22426","1","3","ATL"
"22427","3","2","STL"
"22428","1","3","ATL"
"22429","3","1","STL"
"22430","0","3","ATL"
"22431","0","3","ATL"
"22432","2","3","ATL"
"22433","3","2","STL"
"22434","2","3","ATL"
"22435","1","3","ATL"
"22436","3","1","STL"
"22437","3","1","STL"
"22438","2","3","ATL"
"22439","2","3","ATL"
"22440","3","1","STL"
"22441","2","3","ATL"
"22442","2","3","ATL"
"22443","3","2","STL"
"22444","3","2","STL"
"22445","0","3","ATL"
"22446","0","3","ATL"
"22447","3","0","STL"
"22448","3","0","STL"
"22449","3","1","STL"
"22450","1","3","ATL"
"22451","3","2","STL"
"22452","0","3","ATL"
"22453","2","3","ATL"
"22454","2","3","ATL"
"22455","3","0","STL"
"22456","0","3","ATL"
"22457","2","3","ATL"
"22458","3","2","STL"
"22459","3","0","STL"
"22460","1","3","ATL"
"22461","3","1","STL"
"22462","1","3","ATL"
"22463","1","3","ATL"
"22464","0","3","ATL"
"22465","2","3","ATL"
"22466","0","3","ATL"
"22467","3","0","STL"
"22468","2","3","ATL"
"22469","2","3","ATL"
"22470","3","1","STL"
"22471","2","3","ATL"
"22472","1","3","ATL"
"22473","3","0","STL"
"22474","2","3","ATL"
"22475","3","2","STL"
"22476","2","3","ATL"
"22477","3","2","STL"
"22478","0","3","ATL"
"22479","3","0","STL"
"22480","1","3","ATL"
"22481","3","1","STL"
"22482","2","3","ATL"
"22483","1","3","ATL"
"22484","3","2","STL"
"22485","2","3","ATL"
"22486","0","3","ATL"
"22487","2","3","ATL"
"22488","1","3","ATL"
"22489","1","3","ATL"
"22490","2","3","ATL"
"22491","1","3","ATL"
"22492","3","1","STL"
"22493","3","2","STL"
"22494","3","1","STL"
"22495","3","1","STL"
"22496","2","3","ATL"
"22497","3","1","STL"
"22498","3","0","STL"
"22499","2","3","ATL"
"22500","2","3","ATL"
"22501","1","3","ATL"
"22502","1","3","ATL"
"22503","0","3","ATL"
"22504","3","2","STL"
"22505","1","3","ATL"
"22506","1","3","ATL"
"22507","0","3","ATL"
"22508","3","2","STL"
"22509","3","1","STL"
"22510","1","3","ATL"
"22511","2","3","ATL"
"22512","3","1","STL"
"22513","1","3","ATL"
"22514","1","3","ATL"
"22515","3","0","STL"
"22516","0","3","ATL"
"22517","2","3","ATL"
"22518","3","1","STL"
"22519","0","3","ATL"
"22520","1","3","ATL"
"22521","1","3","ATL"
"22522","2","3","ATL"
"22523","2","3","ATL"
"22524","0","3","ATL"
"22525","3","0","STL"
"22526","3","2","STL"
"22527","1","3","ATL"
"22528","3","0","STL"
"22529","1","3","ATL"
"22530","3","2","STL"
"22531","2","3","ATL"
"22532","1","3","ATL"
"22533","1","3","ATL"
"22534","3","2","STL"
"22535","1","3","ATL"
"22536","1","3","ATL"
"22537","1","3","ATL"
"22538","3","0","STL"
"22539","2","3","ATL"
"22540","1","3","ATL"
"22541","2","3","ATL"
"22542","3","2","STL"
"22543","2","3","ATL"
"22544","0","3","ATL"
"22545","1","3","ATL"
"22546","3","0","STL"
"22547","0","3","ATL"
"22548","3","2","STL"
"22549","3","1","STL"
"22550","0","3","ATL"
"22551","3","1","STL"
"22552","3","1","STL"
"22553","3","2","STL"
"22554","0","3","ATL"
"22555","3","1","STL"
"22556","3","2","STL"
"22557","3","0","STL"
"22558","0","3","ATL"
"22559","3","2","STL"
"22560","1","3","ATL"
"22561","3","0","STL"
"22562","0","3","ATL"
"22563","3","1","STL"
"22564","1","3","ATL"
"22565","1","3","ATL"
"22566","0","3","ATL"
"22567","0","3","ATL"
"22568","0","3","ATL"
"22569","1","3","ATL"
"22570","3","2","STL"
"22571","1","3","ATL"
"22572","3","2","STL"
"22573","1","3","ATL"
"22574","3","1","STL"
"22575","2","3","ATL"
"22576","2","3","ATL"
"22577","3","1","STL"
"22578","2","3","ATL"
"22579","3","2","STL"
"22580","1","3","ATL"
"22581","2","3","ATL"
"22582","1","3","ATL"
"22583","3","1","STL"
"22584","3","0","STL"
"22585","2","3","ATL"
"22586","1","3","ATL"
