"","STL","ATL","Series Winner"
"276","3","2","STL"
"277","0","3","ATL"
"278","3","1","STL"
"279","2","3","ATL"
"280","3","1","STL"
"281","2","3","ATL"
"282","3","1","STL"
"283","0","3","ATL"
"284","2","3","ATL"
"285","2","3","ATL"
"286","0","3","ATL"
"287","1","3","ATL"
"288","3","2","STL"
"289","2","3","ATL"
"290","3","1","STL"
"291","3","0","STL"
"292","0","3","ATL"
"293","0","3","ATL"
"294","0","3","ATL"
"295","3","2","STL"
"296","1","3","ATL"
"297","3","2","STL"
"298","1","3","ATL"
"299","2","3","ATL"
"300","3","2","STL"
"301","3","1","STL"
"302","1","3","ATL"
"303","2","3","ATL"
"304","3","2","STL"
"305","2","3","ATL"
"306","3","2","STL"
"307","0","3","ATL"
"308","2","3","ATL"
"309","3","2","STL"
"310","3","1","STL"
"311","0","3","ATL"
"312","2","3","ATL"
"313","1","3","ATL"
"314","2","3","ATL"
"315","1","3","ATL"
"316","1","3","ATL"
"317","1","3","ATL"
"318","2","3","ATL"
"319","3","2","STL"
"320","2","3","ATL"
"321","3","2","STL"
"322","0","3","ATL"
"323","2","3","ATL"
"324","3","2","STL"
"325","3","2","STL"
"326","1","3","ATL"
"327","2","3","ATL"
"328","1","3","ATL"
"329","0","3","ATL"
"330","0","3","ATL"
"331","2","3","ATL"
"332","1","3","ATL"
"333","1","3","ATL"
"334","0","3","ATL"
"335","2","3","ATL"
"336","1","3","ATL"
"337","0","3","ATL"
"338","3","2","STL"
"339","2","3","ATL"
"340","1","3","ATL"
"341","3","2","STL"
"342","2","3","ATL"
"343","2","3","ATL"
"344","3","0","STL"
"345","0","3","ATL"
"346","0","3","ATL"
"347","1","3","ATL"
"348","2","3","ATL"
"349","0","3","ATL"
"350","1","3","ATL"
"351","0","3","ATL"
"352","3","2","STL"
"353","1","3","ATL"
"354","1","3","ATL"
"355","2","3","ATL"
"356","0","3","ATL"
"357","3","1","STL"
"358","0","3","ATL"
"359","3","0","STL"
"360","1","3","ATL"
"361","0","3","ATL"
"362","3","2","STL"
"363","3","0","STL"
"364","0","3","ATL"
"365","2","3","ATL"
"366","3","0","STL"
"367","3","2","STL"
"368","3","2","STL"
"369","1","3","ATL"
"370","0","3","ATL"
"371","2","3","ATL"
"372","1","3","ATL"
"373","3","2","STL"
"374","1","3","ATL"
"375","1","3","ATL"
"376","3","1","STL"
"377","2","3","ATL"
"378","1","3","ATL"
"379","2","3","ATL"
"380","2","3","ATL"
"381","0","3","ATL"
"382","0","3","ATL"
"383","1","3","ATL"
"384","2","3","ATL"
"385","1","3","ATL"
"386","2","3","ATL"
"387","2","3","ATL"
"388","3","0","STL"
"389","1","3","ATL"
"390","3","2","STL"
"391","2","3","ATL"
"392","0","3","ATL"
"393","2","3","ATL"
"394","1","3","ATL"
"395","2","3","ATL"
"396","1","3","ATL"
