"","TBR","OAK","Winner"
"266","7","3","TBR"
"267","1","2","OAK"
"268","3","7","OAK"
"269","9","5","TBR"
"270","3","5","OAK"
"271","4","3","TBR"
"272","1","6","OAK"
"273","1","2","OAK"
"274","3","3","OAK"
"275","6","1","TBR"
"276","4","4","TBR"
"277","0","6","OAK"
"278","5","5","OAK"
"279","2","4","OAK"
"280","1","3","OAK"
"281","5","13","OAK"
"282","9","4","TBR"
"283","4","7","OAK"
"284","6","3","TBR"
"285","5","8","OAK"
"286","2","3","OAK"
"287","2","2","TBR"
"288","4","5","OAK"
"289","3","4","OAK"
"290","6","13","OAK"
"291","4","11","OAK"
"292","0","2","OAK"
"293","3","5","OAK"
"294","3","12","OAK"
"295","9","4","TBR"
"296","2","2","OAK"
"297","0","12","OAK"
"298","5","4","TBR"
"299","4","8","OAK"
"300","5","4","TBR"
"301","4","6","OAK"
"302","5","3","TBR"
"303","4","3","TBR"
"304","4","4","TBR"
"305","5","9","OAK"
"306","9","1","TBR"
"307","7","1","TBR"
"308","8","3","TBR"
"309","13","5","TBR"
"310","0","2","OAK"
"311","2","1","TBR"
"312","6","5","TBR"
"313","3","2","TBR"
"314","1","5","OAK"
"315","4","3","TBR"
"316","9","5","TBR"
"317","6","6","TBR"
"318","5","1","TBR"
"319","3","2","TBR"
"320","2","5","OAK"
"321","0","5","OAK"
"322","11","1","TBR"
"323","8","9","OAK"
"324","4","2","TBR"
"325","9","9","TBR"
"326","7","6","TBR"
"327","10","13","OAK"
"328","11","7","TBR"
"329","7","9","OAK"
"330","9","1","TBR"
"331","8","4","TBR"
"332","3","1","TBR"
"333","2","7","OAK"
"334","6","2","TBR"
"335","6","4","TBR"
"336","2","9","OAK"
"337","11","7","TBR"
"338","14","2","TBR"
"339","2","3","OAK"
"340","5","12","OAK"
"341","5","3","TBR"
"342","4","3","TBR"
"343","7","9","OAK"
"344","7","4","TBR"
"345","6","7","OAK"
"346","3","2","TBR"
"347","5","2","TBR"
"348","2","7","OAK"
"349","3","4","OAK"
"350","5","6","OAK"
"351","4","4","TBR"
"352","5","2","TBR"
"353","2","3","OAK"
"354","3","3","TBR"
"355","4","4","OAK"
"356","5","6","OAK"
"357","1","2","OAK"
"358","8","7","TBR"
"359","9","6","TBR"
"360","17","2","TBR"
"361","3","3","OAK"
"362","11","6","TBR"
"363","6","3","TBR"
"364","4","4","OAK"
"365","11","7","TBR"
"366","3","4","OAK"
"367","7","6","TBR"
"368","3","12","OAK"
"369","2","5","OAK"
"370","5","2","TBR"
"371","1","6","OAK"
"372","10","4","TBR"
"373","5","11","OAK"
"374","12","3","TBR"
"375","0","5","OAK"
"376","5","4","TBR"
"377","1","2","OAK"
"378","5","2","TBR"
"379","4","12","OAK"
"380","2","6","OAK"
"381","6","3","TBR"
"382","8","4","TBR"
"383","0","6","OAK"
"384","4","4","OAK"
"385","12","8","TBR"
"386","3","7","OAK"
"387","7","6","TBR"
"388","2","8","OAK"
"389","2","2","OAK"
"390","5","11","OAK"
"391","3","9","OAK"
"392","5","3","TBR"
"393","1","0","TBR"
"394","4","2","TBR"
"395","3","6","OAK"
"396","3","3","OAK"
"397","6","3","TBR"
"398","3","4","OAK"
"399","8","3","TBR"
"400","4","2","TBR"
"401","3","13","OAK"
"402","11","6","TBR"
"403","2","1","TBR"
"404","5","5","OAK"
"405","8","5","TBR"
"406","4","3","TBR"
"407","5","1","TBR"
"408","3","4","OAK"
"409","0","3","OAK"
"410","2","10","OAK"
"411","5","9","OAK"
"412","5","9","OAK"
"413","0","0","TBR"
"414","7","3","TBR"
"415","8","10","OAK"
"416","9","9","TBR"
"417","5","8","OAK"
"418","2","4","OAK"
"419","13","0","TBR"
"420","0","2","OAK"
"421","11","1","TBR"
"422","15","5","TBR"
"423","6","2","TBR"
"424","1","9","OAK"
"425","3","6","OAK"
"426","7","8","OAK"
"427","11","0","TBR"
"428","2","0","TBR"
"429","2","9","OAK"
"430","6","1","TBR"
"431","8","12","OAK"
"432","0","7","OAK"
"433","0","4","OAK"
"434","10","5","TBR"
"435","7","4","TBR"
"436","14","6","TBR"
"437","5","9","OAK"
"438","2","4","OAK"
"439","9","6","TBR"
"440","7","8","OAK"
"441","12","7","TBR"
"442","0","2","OAK"
"443","4","3","TBR"
"444","2","5","OAK"
"445","7","4","TBR"
"446","6","3","TBR"
"447","4","0","TBR"
"448","7","1","TBR"
"449","9","15","OAK"
"450","9","6","TBR"
"451","4","4","OAK"
"452","4","3","TBR"
"453","1","1","OAK"
"454","2","4","OAK"
"455","3","7","OAK"
"456","3","6","OAK"
"457","3","1","TBR"
"458","5","8","OAK"
"459","6","4","TBR"
"460","6","2","TBR"
"461","4","8","OAK"
"462","7","0","TBR"
"463","2","0","TBR"
"464","5","2","TBR"
"465","7","5","TBR"
"466","2","7","OAK"
"467","3","4","OAK"
"468","4","10","OAK"
"469","4","6","OAK"
"470","16","3","TBR"
"471","6","3","TBR"
"472","6","7","OAK"
"473","3","3","OAK"
"474","9","4","TBR"
"475","4","4","TBR"
"476","7","8","OAK"
