"","TBR","OAK","Winner"
"19612","7","3","TBR"
"19613","4","10","OAK"
"19614","9","3","TBR"
"19615","12","6","TBR"
"19616","4","1","TBR"
"19617","7","7","OAK"
"19618","3","4","OAK"
"19619","2","1","TBR"
"19620","4","0","TBR"
"19621","10","5","TBR"
"19622","3","6","OAK"
"19623","4","4","TBR"
"19624","4","5","OAK"
"19625","7","9","OAK"
"19626","3","4","OAK"
"19627","2","2","TBR"
"19628","11","0","TBR"
"19629","7","8","OAK"
"19630","2","6","OAK"
"19631","3","12","OAK"
"19632","2","4","OAK"
"19633","8","2","TBR"
"19634","7","7","OAK"
"19635","10","0","TBR"
"19636","7","5","TBR"
"19637","1","9","OAK"
"19638","7","0","TBR"
"19639","5","7","OAK"
"19640","6","6","TBR"
"19641","5","7","OAK"
"19642","6","11","OAK"
"19643","5","4","TBR"
"19644","5","6","OAK"
"19645","5","7","OAK"
"19646","2","1","TBR"
"19647","5","1","TBR"
"19648","3","3","OAK"
"19649","5","8","OAK"
"19650","3","1","TBR"
"19651","4","5","OAK"
"19652","7","9","OAK"
"19653","7","1","TBR"
"19654","6","6","TBR"
"19655","5","6","OAK"
"19656","8","5","TBR"
"19657","2","4","OAK"
"19658","3","2","TBR"
"19659","1","1","TBR"
"19660","5","4","TBR"
"19661","2","1","TBR"
"19662","8","8","OAK"
"19663","7","4","TBR"
"19664","1","0","TBR"
"19665","5","2","TBR"
"19666","5","7","OAK"
"19667","6","6","OAK"
"19668","0","3","OAK"
"19669","8","11","OAK"
"19670","1","4","OAK"
"19671","6","9","OAK"
"19672","4","3","TBR"
"19673","2","4","OAK"
"19674","4","5","OAK"
"19675","1","6","OAK"
"19676","0","1","OAK"
"19677","6","6","OAK"
"19678","5","4","TBR"
"19679","2","8","OAK"
"19680","3","4","OAK"
"19681","2","7","OAK"
"19682","7","2","TBR"
"19683","1","4","OAK"
"19684","0","3","OAK"
"19685","4","2","TBR"
"19686","2","1","TBR"
"19687","0","5","OAK"
"19688","3","2","TBR"
"19689","4","4","TBR"
"19690","0","5","OAK"
"19691","7","4","TBR"
"19692","12","8","TBR"
"19693","10","7","TBR"
"19694","4","2","TBR"
"19695","6","8","OAK"
"19696","3","1","TBR"
"19697","3","7","OAK"
"19698","8","4","TBR"
"19699","13","2","TBR"
"19700","7","4","TBR"
"19701","5","3","TBR"
"19702","8","2","TBR"
"19703","1","7","OAK"
"19704","3","1","TBR"
"19705","3","7","OAK"
"19706","4","7","OAK"
"19707","1","0","TBR"
"19708","12","2","TBR"
"19709","11","5","TBR"
"19710","6","5","TBR"
"19711","2","9","OAK"
"19712","4","10","OAK"
"19713","6","3","TBR"
"19714","2","8","OAK"
"19715","10","3","TBR"
"19716","6","3","TBR"
"19717","9","1","TBR"
"19718","3","7","OAK"
"19719","9","2","TBR"
"19720","4","4","TBR"
"19721","6","13","OAK"
"19722","5","9","OAK"
"19723","7","3","TBR"
"19724","1","5","OAK"
"19725","1","2","OAK"
"19726","4","0","TBR"
"19727","4","8","OAK"
"19728","6","5","TBR"
"19729","3","7","OAK"
"19730","3","7","OAK"
"19731","3","7","OAK"
"19732","3","8","OAK"
"19733","2","1","TBR"
"19734","7","10","OAK"
"19735","4","8","OAK"
"19736","1","7","OAK"
"19737","6","7","OAK"
"19738","5","5","TBR"
"19739","8","9","OAK"
"19740","8","6","TBR"
"19741","3","4","OAK"
"19742","0","5","OAK"
"19743","5","5","TBR"
"19744","5","5","TBR"
"19745","6","3","TBR"
"19746","4","6","OAK"
"19747","10","7","TBR"
"19748","4","8","OAK"
"19749","14","4","TBR"
"19750","1","7","OAK"
"19751","5","3","TBR"
"19752","1","9","OAK"
"19753","4","1","TBR"
"19754","3","15","OAK"
"19755","7","5","TBR"
"19756","0","4","OAK"
"19757","8","3","TBR"
"19758","2","8","OAK"
"19759","9","8","TBR"
"19760","1","3","OAK"
"19761","10","2","TBR"
"19762","6","2","TBR"
"19763","6","5","TBR"
"19764","4","9","OAK"
"19765","4","6","OAK"
"19766","11","5","TBR"
"19767","10","7","TBR"
"19768","4","6","OAK"
"19769","6","9","OAK"
"19770","1","6","OAK"
"19771","5","8","OAK"
"19772","3","8","OAK"
"19773","3","4","OAK"
"19774","3","5","OAK"
"19775","10","4","TBR"
"19776","3","5","OAK"
"19777","3","3","OAK"
"19778","5","10","OAK"
"19779","2","3","OAK"
"19780","9","3","TBR"
"19781","3","1","TBR"
"19782","10","1","TBR"
"19783","5","15","OAK"
"19784","10","11","OAK"
"19785","1","1","OAK"
"19786","5","8","OAK"
"19787","3","9","OAK"
"19788","2","3","OAK"
"19789","6","2","TBR"
"19790","3","3","OAK"
"19791","8","1","TBR"
"19792","6","3","TBR"
"19793","1","9","OAK"
"19794","4","3","TBR"
"19795","3","14","OAK"
"19796","2","5","OAK"
"19797","1","8","OAK"
"19798","1","6","OAK"
"19799","0","2","OAK"
"19800","7","5","TBR"
"19801","5","2","TBR"
"19802","7","5","TBR"
"19803","0","14","OAK"
"19804","13","6","TBR"
"19805","2","4","OAK"
"19806","3","6","OAK"
"19807","4","1","TBR"
"19808","1","7","OAK"
"19809","5","10","OAK"
"19810","1","9","OAK"
"19811","7","12","OAK"
"19812","3","3","OAK"
"19813","1","7","OAK"
"19814","9","5","TBR"
"19815","7","3","TBR"
"19816","9","8","TBR"
"19817","0","1","OAK"
"19818","4","3","TBR"
"19819","5","5","OAK"
"19820","1","8","OAK"
"19821","8","5","TBR"
"19822","5","1","TBR"
"19823","5","6","OAK"
"19824","5","4","TBR"
"19825","4","14","OAK"
"19826","3","6","OAK"
"19827","3","10","OAK"
"19828","3","6","OAK"
"19829","4","2","TBR"
"19830","4","8","OAK"
"19831","2","8","OAK"
"19832","9","6","TBR"
"19833","7","13","OAK"
"19834","3","8","OAK"
"19835","9","9","TBR"
"19836","5","4","TBR"
"19837","5","4","TBR"
"19838","3","4","OAK"
"19839","9","3","TBR"
"19840","6","9","OAK"
"19841","2","8","OAK"
"19842","4","12","OAK"
"19843","2","14","OAK"
"19844","1","3","OAK"
"19845","7","10","OAK"
"19846","5","6","OAK"
"19847","3","0","TBR"
"19848","3","0","TBR"
"19849","2","12","OAK"
"19850","0","7","OAK"
"19851","7","2","TBR"
"19852","8","1","TBR"
"19853","5","5","TBR"
"19854","2","4","OAK"
"19855","7","7","OAK"
"19856","8","2","TBR"
"19857","2","4","OAK"
"19858","0","1","OAK"
"19859","1","7","OAK"
"19860","13","11","TBR"
"19861","7","1","TBR"
"19862","6","5","TBR"
"19863","3","3","TBR"
"19864","3","7","OAK"
"19865","0","7","OAK"
"19866","2","8","OAK"
"19867","12","8","TBR"
"19868","0","10","OAK"
"19869","6","1","TBR"
"19870","4","8","OAK"
"19871","2","8","OAK"
"19872","6","1","TBR"
"19873","6","7","OAK"
"19874","1","7","OAK"
"19875","1","11","OAK"
"19876","23","2","TBR"
"19877","9","3","TBR"
"19878","3","8","OAK"
"19879","3","1","TBR"
"19880","0","8","OAK"
"19881","0","8","OAK"
"19882","7","2","TBR"
"19883","3","5","OAK"
"19884","6","5","TBR"
"19885","4","6","OAK"
"19886","5","1","TBR"
"19887","0","6","OAK"
"19888","0","7","OAK"
"19889","3","1","TBR"
"19890","4","5","OAK"
"19891","8","0","TBR"
"19892","4","4","OAK"
"19893","3","6","OAK"
"19894","1","8","OAK"
"19895","0","7","OAK"
"19896","4","9","OAK"
"19897","3","1","TBR"
"19898","2","4","OAK"
"19899","4","7","OAK"
"19900","6","8","OAK"
"19901","3","4","OAK"
"19902","4","4","TBR"
"19903","10","6","TBR"
"19904","1","8","OAK"
"19905","7","5","TBR"
"19906","16","10","TBR"
"19907","6","6","OAK"
"19908","3","6","OAK"
"19909","1","5","OAK"
"19910","1","8","OAK"
"19911","2","1","TBR"
"19912","4","5","OAK"
"19913","2","9","OAK"
"19914","6","2","TBR"
"19915","3","11","OAK"
"19916","3","2","TBR"
"19917","5","4","TBR"
"19918","3","14","OAK"
"19919","3","3","TBR"
"19920","9","9","OAK"
"19921","2","5","OAK"
"19922","7","6","TBR"
"19923","7","2","TBR"
"19924","4","5","OAK"
"19925","3","2","TBR"
"19926","10","0","TBR"
"19927","12","2","TBR"
"19928","1","6","OAK"
"19929","7","2","TBR"
"19930","1","5","OAK"
"19931","6","4","TBR"
"19932","5","10","OAK"
"19933","1","2","OAK"
"19934","8","3","TBR"
"19935","2","3","OAK"
"19936","2","4","OAK"
"19937","2","2","OAK"
"19938","8","6","TBR"
"19939","8","11","OAK"
"19940","2","8","OAK"
"19941","5","9","OAK"
"19942","14","4","TBR"
"19943","4","10","OAK"
"19944","1","1","OAK"
"19945","2","5","OAK"
"19946","4","7","OAK"
"19947","3","1","TBR"
"19948","9","1","TBR"
"19949","2","13","OAK"
"19950","9","7","TBR"
"19951","4","6","OAK"
"19952","1","2","OAK"
"19953","2","6","OAK"
"19954","6","8","OAK"
"19955","4","0","TBR"
"19956","4","2","TBR"
"19957","4","9","OAK"
"19958","5","4","TBR"
"19959","11","3","TBR"
"19960","2","3","OAK"
"19961","1","8","OAK"
"19962","9","6","TBR"
"19963","2","6","OAK"
"19964","7","7","TBR"
"19965","12","10","TBR"
"19966","5","5","OAK"
"19967","3","2","TBR"
"19968","7","1","TBR"
"19969","4","9","OAK"
"19970","1","2","OAK"
"19971","24","5","TBR"
"19972","7","5","TBR"
"19973","1","9","OAK"
"19974","3","1","TBR"
"19975","4","5","OAK"
"19976","1","3","OAK"
"19977","2","13","OAK"
"19978","0","9","OAK"
"19979","1","5","OAK"
"19980","11","2","TBR"
"19981","6","1","TBR"
"19982","4","3","TBR"
"19983","2","3","OAK"
"19984","0","0","OAK"
"19985","11","1","TBR"
"19986","4","2","TBR"
"19987","7","5","TBR"
"19988","9","4","TBR"
"19989","0","6","OAK"
"19990","1","8","OAK"
"19991","11","8","TBR"
"19992","6","5","TBR"
"19993","5","1","TBR"
"19994","4","5","OAK"
"19995","7","5","TBR"
"19996","0","8","OAK"
"19997","3","2","TBR"
"19998","5","8","OAK"
"19999","1","11","OAK"
"20000","3","1","TBR"
"20001","3","5","OAK"
"20002","1","1","OAK"
"20003","3","5","OAK"
"20004","5","3","TBR"
"20005","8","3","TBR"
"20006","3","5","OAK"
"20007","6","4","TBR"
"20008","4","10","OAK"
"20009","11","6","TBR"
"20010","14","1","TBR"
"20011","0","4","OAK"
"20012","7","3","TBR"
"20013","10","6","TBR"
"20014","9","13","OAK"
"20015","7","6","TBR"
"20016","2","10","OAK"
"20017","7","3","TBR"
"20018","10","5","TBR"
"20019","2","5","OAK"
"20020","7","6","TBR"
"20021","4","3","TBR"
"20022","7","12","OAK"
"20023","3","4","OAK"
"20024","5","1","TBR"
"20025","0","2","OAK"
"20026","4","6","OAK"
"20027","1","6","OAK"
"20028","5","6","OAK"
"20029","4","4","TBR"
"20030","3","3","OAK"
"20031","4","6","OAK"
"20032","1","2","OAK"
"20033","4","6","OAK"
"20034","3","7","OAK"
"20035","7","12","OAK"
"20036","2","8","OAK"
"20037","4","6","OAK"
"20038","9","3","TBR"
"20039","6","10","OAK"
"20040","6","8","OAK"
"20041","6","5","TBR"
"20042","6","2","TBR"
"20043","1","2","OAK"
"20044","2","4","OAK"
"20045","4","3","TBR"
"20046","4","6","OAK"
"20047","1","7","OAK"
"20048","11","7","TBR"
"20049","5","4","TBR"
"20050","4","11","OAK"
"20051","4","9","OAK"
"20052","5","2","TBR"
"20053","1","3","OAK"
"20054","7","6","TBR"
"20055","4","8","OAK"
"20056","3","0","TBR"
"20057","7","3","TBR"
"20058","6","4","TBR"
"20059","6","8","OAK"
"20060","9","1","TBR"
"20061","6","3","TBR"
"20062","1","6","OAK"
"20063","3","1","TBR"
"20064","5","5","OAK"
"20065","4","17","OAK"
"20066","1","4","OAK"
"20067","6","17","OAK"
"20068","9","4","TBR"
"20069","3","2","TBR"
"20070","6","2","TBR"
"20071","4","6","OAK"
"20072","2","6","OAK"
"20073","10","4","TBR"
"20074","4","10","OAK"
"20075","3","11","OAK"
"20076","6","0","TBR"
"20077","6","7","OAK"
"20078","6","2","TBR"
"20079","2","4","OAK"
"20080","7","10","OAK"
"20081","3","3","TBR"
"20082","6","4","TBR"
"20083","4","5","OAK"
"20084","9","4","TBR"
"20085","11","10","TBR"
"20086","8","13","OAK"
"20087","9","3","TBR"
"20088","3","7","OAK"
"20089","4","15","OAK"
"20090","5","8","OAK"
"20091","2","3","OAK"
"20092","5","0","TBR"
"20093","1","1","OAK"
"20094","5","12","OAK"
"20095","7","2","TBR"
"20096","7","2","TBR"
"20097","4","6","OAK"
"20098","6","3","TBR"
"20099","2","0","TBR"
"20100","0","4","OAK"
"20101","8","6","TBR"
"20102","5","1","TBR"
"20103","3","8","OAK"
"20104","2","3","OAK"
"20105","2","6","OAK"
"20106","12","10","TBR"
"20107","3","3","OAK"
"20108","2","3","OAK"
"20109","6","5","TBR"
"20110","1","7","OAK"
"20111","2","0","TBR"
"20112","2","4","OAK"
"20113","3","5","OAK"
"20114","1","1","OAK"
"20115","8","11","OAK"
"20116","10","8","TBR"
"20117","5","8","OAK"
"20118","3","7","OAK"
"20119","2","2","TBR"
"20120","5","5","OAK"
"20121","2","4","OAK"
"20122","6","6","TBR"
"20123","1","0","TBR"
"20124","2","3","OAK"
"20125","3","6","OAK"
"20126","7","9","OAK"
"20127","8","8","TBR"
"20128","5","7","OAK"
"20129","6","3","TBR"
"20130","0","4","OAK"
"20131","8","4","TBR"
"20132","5","7","OAK"
"20133","8","2","TBR"
"20134","3","5","OAK"
"20135","6","4","TBR"
"20136","10","3","TBR"
"20137","11","3","TBR"
"20138","8","8","OAK"
"20139","3","6","OAK"
"20140","7","8","OAK"
"20141","3","2","TBR"
"20142","2","1","TBR"
"20143","2","7","OAK"
"20144","6","3","TBR"
"20145","13","4","TBR"
"20146","5","2","TBR"
"20147","4","10","OAK"
"20148","8","12","OAK"
"20149","0","6","OAK"
"20150","7","5","TBR"
"20151","9","1","TBR"
"20152","4","11","OAK"
"20153","5","5","OAK"
"20154","6","3","TBR"
"20155","6","3","TBR"
"20156","8","4","TBR"
"20157","2","6","OAK"
"20158","9","4","TBR"
"20159","5","10","OAK"
"20160","10","4","TBR"
"20161","2","10","OAK"
"20162","4","9","OAK"
"20163","7","4","TBR"
"20164","7","2","TBR"
"20165","4","6","OAK"
"20166","4","3","TBR"
"20167","3","7","OAK"
"20168","6","7","OAK"
"20169","3","0","TBR"
"20170","6","1","TBR"
"20171","4","5","OAK"
"20172","6","6","OAK"
"20173","10","7","TBR"
"20174","4","12","OAK"
"20175","5","5","TBR"
"20176","2","6","OAK"
"20177","3","11","OAK"
"20178","6","0","TBR"
"20179","2","5","OAK"
"20180","5","5","TBR"
"20181","6","4","TBR"
"20182","2","10","OAK"
"20183","1","6","OAK"
"20184","3","9","OAK"
"20185","5","1","TBR"
"20186","5","7","OAK"
"20187","3","5","OAK"
"20188","11","6","TBR"
"20189","6","3","TBR"
"20190","4","8","OAK"
"20191","4","4","TBR"
"20192","11","2","TBR"
"20193","4","5","OAK"
"20194","2","6","OAK"
"20195","15","7","TBR"
"20196","8","2","TBR"
"20197","8","5","TBR"
"20198","7","6","TBR"
"20199","6","6","TBR"
"20200","1","2","OAK"
"20201","5","5","TBR"
"20202","6","11","OAK"
"20203","8","6","TBR"
"20204","3","6","OAK"
"20205","5","9","OAK"
"20206","3","3","TBR"
"20207","3","2","TBR"
"20208","8","2","TBR"
"20209","5","4","TBR"
"20210","1","1","TBR"
"20211","1","2","OAK"
"20212","3","1","TBR"
"20213","3","8","OAK"
"20214","6","7","OAK"
"20215","12","3","TBR"
"20216","6","12","OAK"
"20217","2","7","OAK"
"20218","6","6","TBR"
"20219","1","2","OAK"
"20220","8","1","TBR"
"20221","12","3","TBR"
"20222","1","7","OAK"
"20223","2","3","OAK"
"20224","3","0","TBR"
"20225","6","3","TBR"
"20226","5","2","TBR"
"20227","3","8","OAK"
"20228","1","14","OAK"
"20229","5","4","TBR"
"20230","6","3","TBR"
"20231","9","6","TBR"
"20232","6","7","OAK"
"20233","6","8","OAK"
"20234","6","5","TBR"
"20235","5","4","TBR"
"20236","2","8","OAK"
"20237","5","3","TBR"
"20238","9","5","TBR"
"20239","7","4","TBR"
"20240","4","7","OAK"
"20241","12","3","TBR"
"20242","2","2","TBR"
"20243","13","3","TBR"
"20244","0","7","OAK"
"20245","10","9","TBR"
"20246","11","4","TBR"
"20247","3","8","OAK"
"20248","1","17","OAK"
"20249","8","5","TBR"
"20250","6","2","TBR"
"20251","6","6","TBR"
"20252","6","5","TBR"
"20253","6","1","TBR"
"20254","5","2","TBR"
"20255","2","5","OAK"
"20256","1","3","OAK"
"20257","0","7","OAK"
"20258","3","5","OAK"
"20259","13","6","TBR"
"20260","0","5","OAK"
"20261","4","10","OAK"
"20262","2","8","OAK"
"20263","8","2","TBR"
"20264","9","11","OAK"
"20265","1","6","OAK"
"20266","7","5","TBR"
"20267","7","8","OAK"
"20268","7","0","TBR"
"20269","4","1","TBR"
"20270","8","7","TBR"
"20271","3","0","TBR"
"20272","1","7","OAK"
"20273","9","7","TBR"
"20274","6","7","OAK"
"20275","1","7","OAK"
"20276","6","9","OAK"
"20277","3","1","TBR"
"20278","8","1","TBR"
"20279","4","7","OAK"
"20280","1","6","OAK"
"20281","3","0","TBR"
"20282","4","2","TBR"
"20283","9","4","TBR"
"20284","13","11","TBR"
"20285","6","2","TBR"
"20286","3","12","OAK"
"20287","9","4","TBR"
"20288","8","5","TBR"
"20289","3","9","OAK"
"20290","2","3","OAK"
"20291","3","7","OAK"
"20292","6","11","OAK"
"20293","1","3","OAK"
"20294","4","6","OAK"
"20295","5","7","OAK"
"20296","3","10","OAK"
"20297","8","7","TBR"
"20298","0","8","OAK"
"20299","7","3","TBR"
"20300","5","6","OAK"
"20301","12","5","TBR"
"20302","7","2","TBR"
"20303","12","1","TBR"
"20304","10","6","TBR"
"20305","5","7","OAK"
"20306","2","6","OAK"
"20307","5","9","OAK"
"20308","6","6","OAK"
"20309","2","7","OAK"
"20310","4","5","OAK"
"20311","1","6","OAK"
"20312","6","4","TBR"
"20313","1","2","OAK"
"20314","8","13","OAK"
"20315","1","2","OAK"
"20316","2","11","OAK"
"20317","10","3","TBR"
"20318","4","9","OAK"
"20319","3","3","OAK"
"20320","4","2","TBR"
"20321","6","5","TBR"
"20322","4","8","OAK"
"20323","2","4","OAK"
"20324","8","5","TBR"
"20325","7","4","TBR"
"20326","7","2","TBR"
"20327","3","5","OAK"
"20328","7","9","OAK"
"20329","5","2","TBR"
"20330","6","5","TBR"
"20331","5","7","OAK"
"20332","2","3","OAK"
"20333","6","3","TBR"
"20334","3","5","OAK"
"20335","1","2","OAK"
"20336","3","2","TBR"
"20337","10","3","TBR"
"20338","5","3","TBR"
"20339","2","8","OAK"
"20340","1","7","OAK"
"20341","3","4","OAK"
"20342","2","9","OAK"
"20343","4","3","TBR"
"20344","9","3","TBR"
"20345","2","8","OAK"
"20346","3","6","OAK"
"20347","7","1","TBR"
"20348","4","7","OAK"
"20349","8","4","TBR"
"20350","6","2","TBR"
"20351","2","10","OAK"
"20352","3","3","TBR"
"20353","5","2","TBR"
"20354","3","3","OAK"
"20355","5","1","TBR"
"20356","8","6","TBR"
"20357","3","2","TBR"
"20358","4","4","OAK"
"20359","2","4","OAK"
"20360","0","2","OAK"
"20361","1","5","OAK"
"20362","2","7","OAK"
"20363","9","4","TBR"
"20364","1","5","OAK"
"20365","11","1","TBR"
"20366","19","6","TBR"
"20367","3","8","OAK"
"20368","5","0","TBR"
"20369","4","4","TBR"
"20370","4","5","OAK"
"20371","2","6","OAK"
"20372","2","9","OAK"
"20373","5","5","OAK"
"20374","6","9","OAK"
"20375","3","3","OAK"
"20376","6","11","OAK"
"20377","1","2","OAK"
"20378","6","9","OAK"
"20379","6","4","TBR"
"20380","5","5","TBR"
"20381","0","10","OAK"
"20382","6","8","OAK"
"20383","2","5","OAK"
"20384","2","9","OAK"
"20385","10","3","TBR"
"20386","0","3","OAK"
"20387","5","3","TBR"
"20388","6","4","TBR"
"20389","2","12","OAK"
"20390","5","4","TBR"
"20391","4","2","TBR"
"20392","5","7","OAK"
"20393","11","1","TBR"
"20394","2","1","TBR"
"20395","3","0","TBR"
"20396","4","6","OAK"
"20397","3","6","OAK"
"20398","3","2","TBR"
"20399","0","8","OAK"
"20400","2","2","TBR"
"20401","3","4","OAK"
"20402","5","2","TBR"
"20403","1","7","OAK"
"20404","6","4","TBR"
"20405","3","7","OAK"
"20406","5","2","TBR"
"20407","5","4","TBR"
"20408","6","8","OAK"
"20409","2","4","OAK"
"20410","4","2","TBR"
"20411","0","3","OAK"
"20412","12","4","TBR"
"20413","3","7","OAK"
"20414","3","21","OAK"
"20415","1","6","OAK"
"20416","4","0","TBR"
"20417","2","8","OAK"
"20418","2","7","OAK"
"20419","9","3","TBR"
"20420","6","7","OAK"
"20421","1","4","OAK"
"20422","1","5","OAK"
"20423","1","6","OAK"
"20424","7","2","TBR"
"20425","1","4","OAK"
"20426","2","7","OAK"
"20427","6","11","OAK"
"20428","5","8","OAK"
"20429","6","2","TBR"
"20430","0","6","OAK"
"20431","4","8","OAK"
"20432","6","13","OAK"
"20433","5","10","OAK"
"20434","16","5","TBR"
"20435","5","7","OAK"
"20436","3","9","OAK"
"20437","9","11","OAK"
"20438","11","4","TBR"
"20439","4","4","TBR"
"20440","13","6","TBR"
"20441","9","6","TBR"
"20442","5","6","OAK"
"20443","11","8","TBR"
"20444","5","10","OAK"
"20445","0","1","OAK"
"20446","7","8","OAK"
"20447","4","4","OAK"
"20448","1","8","OAK"
"20449","3","5","OAK"
"20450","10","9","TBR"
"20451","3","6","OAK"
"20452","10","8","TBR"
"20453","4","6","OAK"
"20454","3","5","OAK"
"20455","2","2","OAK"
"20456","2","13","OAK"
"20457","5","3","TBR"
"20458","1","9","OAK"
"20459","5","7","OAK"
"20460","10","11","OAK"
"20461","2","8","OAK"
"20462","4","2","TBR"
"20463","5","7","OAK"
"20464","3","10","OAK"
"20465","5","3","TBR"
"20466","1","3","OAK"
"20467","7","3","TBR"
"20468","1","10","OAK"
"20469","3","5","OAK"
"20470","9","7","TBR"
"20471","5","3","TBR"
"20472","6","2","TBR"
"20473","2","4","OAK"
"20474","6","5","TBR"
"20475","4","9","OAK"
"20476","10","6","TBR"
"20477","5","18","OAK"
"20478","7","1","TBR"
"20479","11","3","TBR"
"20480","4","2","TBR"
"20481","2","4","OAK"
"20482","3","3","OAK"
"20483","0","11","OAK"
"20484","12","6","TBR"
"20485","3","8","OAK"
"20486","3","8","OAK"
"20487","9","9","TBR"
"20488","4","9","OAK"
"20489","6","1","TBR"
"20490","8","4","TBR"
"20491","3","3","TBR"
"20492","2","6","OAK"
"20493","6","6","TBR"
"20494","11","7","TBR"
"20495","2","4","OAK"
"20496","10","7","TBR"
"20497","4","6","OAK"
"20498","6","7","OAK"
"20499","1","6","OAK"
"20500","2","1","TBR"
"20501","1","4","OAK"
"20502","3","4","OAK"
"20503","1","6","OAK"
"20504","2","8","OAK"
"20505","4","5","OAK"
"20506","4","3","TBR"
"20507","6","7","OAK"
"20508","3","3","TBR"
"20509","5","5","TBR"
"20510","6","6","OAK"
"20511","4","2","TBR"
"20512","3","6","OAK"
"20513","6","2","TBR"
"20514","7","5","TBR"
"20515","17","2","TBR"
"20516","5","12","OAK"
"20517","8","8","TBR"
"20518","3","7","OAK"
"20519","6","2","TBR"
"20520","5","3","TBR"
"20521","0","1","OAK"
"20522","5","2","TBR"
"20523","7","0","TBR"
"20524","7","10","OAK"
"20525","0","4","OAK"
"20526","8","4","TBR"
"20527","6","2","TBR"
"20528","4","3","TBR"
"20529","6","8","OAK"
"20530","7","8","OAK"
"20531","5","4","TBR"
"20532","4","3","TBR"
"20533","2","1","TBR"
"20534","3","12","OAK"
"20535","9","5","TBR"
"20536","3","2","TBR"
"20537","10","8","TBR"
"20538","4","3","TBR"
"20539","4","10","OAK"
"20540","4","6","OAK"
"20541","1","10","OAK"
"20542","6","2","TBR"
"20543","2","6","OAK"
"20544","8","1","TBR"
"20545","8","7","TBR"
"20546","1","9","OAK"
"20547","0","9","OAK"
"20548","1","4","OAK"
"20549","3","1","TBR"
"20550","10","6","TBR"
"20551","1","2","OAK"
"20552","6","8","OAK"
"20553","3","4","OAK"
"20554","8","1","TBR"
"20555","1","9","OAK"
"20556","5","8","OAK"
"20557","1","8","OAK"
"20558","13","1","TBR"
"20559","7","6","TBR"
"20560","5","2","TBR"
"20561","4","13","OAK"
"20562","3","4","OAK"
"20563","6","3","TBR"
"20564","4","5","OAK"
"20565","8","7","TBR"
"20566","2","5","OAK"
"20567","0","4","OAK"
"20568","7","3","TBR"
"20569","0","5","OAK"
"20570","5","11","OAK"
"20571","2","4","OAK"
"20572","4","6","OAK"
"20573","2","7","OAK"
"20574","0","6","OAK"
"20575","5","1","TBR"
"20576","12","10","TBR"
"20577","2","5","OAK"
"20578","10","15","OAK"
"20579","0","7","OAK"
"20580","6","10","OAK"
"20581","6","5","TBR"
"20582","6","6","OAK"
"20583","9","1","TBR"
"20584","13","8","TBR"
"20585","1","8","OAK"
"20586","6","6","OAK"
"20587","0","0","TBR"
"20588","7","3","TBR"
"20589","6","8","OAK"
"20590","6","2","TBR"
"20591","11","3","TBR"
"20592","6","0","TBR"
"20593","1","7","OAK"
"20594","12","2","TBR"
"20595","4","3","TBR"
"20596","11","3","TBR"
"20597","3","3","TBR"
"20598","4","11","OAK"
"20599","3","5","OAK"
"20600","7","4","TBR"
"20601","6","4","TBR"
"20602","5","3","TBR"
"20603","9","4","TBR"
"20604","3","6","OAK"
"20605","2","2","TBR"
"20606","7","9","OAK"
"20607","5","9","OAK"
"20608","5","6","OAK"
"20609","4","3","TBR"
"20610","6","2","TBR"
"20611","7","2","TBR"
"20612","5","6","OAK"
"20613","10","2","TBR"
"20614","4","5","OAK"
"20615","9","9","TBR"
"20616","8","1","TBR"
"20617","2","11","OAK"
"20618","9","7","TBR"
"20619","3","12","OAK"
"20620","3","5","OAK"
"20621","3","5","OAK"
"20622","1","4","OAK"
"20623","7","9","OAK"
"20624","4","10","OAK"
"20625","4","3","TBR"
"20626","1","4","OAK"
"20627","2","0","TBR"
"20628","5","2","TBR"
"20629","1","7","OAK"
"20630","2","6","OAK"
"20631","2","2","TBR"
"20632","5","8","OAK"
"20633","2","7","OAK"
"20634","5","7","OAK"
"20635","5","3","TBR"
"20636","4","1","TBR"
"20637","1","2","OAK"
"20638","7","7","OAK"
"20639","9","1","TBR"
"20640","4","6","OAK"
"20641","2","1","TBR"
"20642","8","3","TBR"
"20643","1","4","OAK"
"20644","4","1","TBR"
"20645","0","2","OAK"
"20646","9","2","TBR"
"20647","6","2","TBR"
"20648","8","3","TBR"
"20649","7","4","TBR"
"20650","12","1","TBR"
"20651","9","3","TBR"
"20652","1","4","OAK"
"20653","1","7","OAK"
"20654","8","0","TBR"
"20655","4","7","OAK"
"20656","1","10","OAK"
"20657","7","6","TBR"
"20658","7","3","TBR"
"20659","7","6","TBR"
"20660","3","5","OAK"
"20661","6","5","TBR"
"20662","2","14","OAK"
"20663","2","6","OAK"
"20664","3","6","OAK"
"20665","7","5","TBR"
"20666","6","5","TBR"
"20667","4","4","TBR"
"20668","1","6","OAK"
"20669","3","4","OAK"
"20670","2","15","OAK"
"20671","1","9","OAK"
"20672","14","0","TBR"
"20673","6","7","OAK"
"20674","5","12","OAK"
"20675","5","2","TBR"
"20676","3","5","OAK"
"20677","4","12","OAK"
"20678","2","4","OAK"
"20679","4","6","OAK"
"20680","11","0","TBR"
"20681","4","0","TBR"
"20682","5","1","TBR"
"20683","8","7","TBR"
"20684","7","18","OAK"
"20685","6","8","OAK"
"20686","13","6","TBR"
