"","MIL","WSN","Winner"
"266","2","7","WSN"
"267","0","5","WSN"
"268","0","0","WSN"
"269","4","12","WSN"
"270","3","2","MIL"
"271","5","6","WSN"
"272","4","3","MIL"
"273","4","4","WSN"
"274","5","0","MIL"
"275","12","6","MIL"
"276","7","0","MIL"
"277","6","8","WSN"
"278","6","1","MIL"
"279","7","3","MIL"
"280","4","3","MIL"
"281","5","2","MIL"
"282","2","3","WSN"
"283","6","1","MIL"
"284","5","1","MIL"
"285","0","6","WSN"
"286","5","5","MIL"
"287","4","0","MIL"
"288","2","8","WSN"
"289","5","2","MIL"
"290","3","7","WSN"
"291","0","4","WSN"
"292","9","1","MIL"
"293","13","10","MIL"
"294","1","1","MIL"
"295","0","6","WSN"
"296","9","1","MIL"
"297","0","2","WSN"
"298","9","2","MIL"
"299","7","5","MIL"
"300","7","4","MIL"
"301","2","5","WSN"
"302","6","2","MIL"
"303","1","4","WSN"
"304","9","3","MIL"
"305","7","6","MIL"
"306","5","0","MIL"
"307","5","6","WSN"
"308","3","5","WSN"
"309","4","4","MIL"
"310","5","4","MIL"
"311","5","3","MIL"
"312","1","1","WSN"
"313","0","3","WSN"
"314","6","1","MIL"
"315","7","2","MIL"
"316","11","3","MIL"
"317","10","7","MIL"
"318","10","0","MIL"
"319","0","2","WSN"
"320","11","3","MIL"
"321","5","6","WSN"
"322","4","4","WSN"
"323","7","1","MIL"
"324","1","2","WSN"
"325","6","0","MIL"
"326","10","2","MIL"
"327","2","6","WSN"
"328","2","4","WSN"
"329","4","3","MIL"
"330","5","0","MIL"
"331","15","2","MIL"
"332","8","2","MIL"
"333","10","0","MIL"
"334","3","3","WSN"
"335","1","5","WSN"
"336","7","8","WSN"
"337","6","3","MIL"
"338","3","1","MIL"
"339","6","2","MIL"
"340","4","7","WSN"
"341","5","4","MIL"
"342","4","3","MIL"
"343","3","5","WSN"
"344","9","8","MIL"
"345","5","1","MIL"
"346","5","3","MIL"
"347","4","0","MIL"
"348","4","5","WSN"
"349","0","2","WSN"
"350","7","1","MIL"
"351","4","5","WSN"
"352","6","1","MIL"
"353","4","3","MIL"
"354","5","6","WSN"
"355","9","2","MIL"
"356","9","2","MIL"
"357","8","0","MIL"
"358","5","3","MIL"
"359","8","4","MIL"
"360","4","7","WSN"
"361","6","4","MIL"
"362","4","5","WSN"
"363","2","1","MIL"
"364","6","1","MIL"
"365","6","8","WSN"
"366","9","0","MIL"
"367","6","0","MIL"
"368","4","5","WSN"
"369","6","3","MIL"
"370","2","4","WSN"
"371","6","3","MIL"
"372","3","0","MIL"
"373","2","2","WSN"
"374","7","4","MIL"
"375","7","0","MIL"
"376","3","6","WSN"
"377","4","6","WSN"
"378","3","3","WSN"
"379","9","1","MIL"
"380","6","1","MIL"
"381","4","1","MIL"
"382","8","6","MIL"
"383","6","5","MIL"
"384","8","1","MIL"
"385","7","3","MIL"
"386","1","1","MIL"
"387","1","0","MIL"
"388","2","2","WSN"
"389","4","2","MIL"
"390","12","5","MIL"
"391","6","6","WSN"
"392","5","5","WSN"
"393","19","3","MIL"
"394","4","6","WSN"
"395","7","2","MIL"
"396","4","3","MIL"
"397","4","3","MIL"
"398","6","4","MIL"
"399","7","3","MIL"
"400","3","0","MIL"
"401","3","1","MIL"
"402","4","4","MIL"
"403","4","4","WSN"
"404","7","2","MIL"
"405","5","1","MIL"
"406","5","7","WSN"
"407","4","3","MIL"
"408","7","0","MIL"
"409","9","0","MIL"
"410","3","2","MIL"
"411","3","4","WSN"
"412","8","2","MIL"
"413","1","6","WSN"
"414","7","1","MIL"
"415","2","2","WSN"
"416","3","2","MIL"
"417","2","4","WSN"
"418","8","10","WSN"
"419","9","7","MIL"
"420","6","0","MIL"
"421","11","4","MIL"
"422","10","1","MIL"
"423","8","2","MIL"
"424","4","2","MIL"
"425","6","2","MIL"
"426","6","4","MIL"
"427","5","2","MIL"
"428","9","6","MIL"
"429","1","0","MIL"
"430","3","5","WSN"
"431","4","3","MIL"
"432","7","5","MIL"
"433","2","3","WSN"
"434","2","1","MIL"
"435","6","7","WSN"
"436","9","4","MIL"
"437","5","3","MIL"
"438","1","2","WSN"
"439","10","0","MIL"
"440","9","1","MIL"
"441","7","0","MIL"
"442","8","4","MIL"
"443","8","0","MIL"
"444","7","1","MIL"
"445","1","1","MIL"
"446","5","2","MIL"
"447","15","4","MIL"
"448","5","5","WSN"
"449","2","5","WSN"
"450","10","5","MIL"
"451","2","0","MIL"
"452","2","4","WSN"
"453","2","1","MIL"
"454","11","1","MIL"
"455","4","4","WSN"
"456","4","4","WSN"
"457","5","1","MIL"
"458","0","0","MIL"
"459","5","8","WSN"
"460","7","4","MIL"
"461","5","3","MIL"
"462","6","2","MIL"
"463","4","0","MIL"
"464","6","4","MIL"
"465","10","2","MIL"
"466","1","8","WSN"
"467","2","8","WSN"
"468","5","5","MIL"
"469","4","1","MIL"
"470","2","7","WSN"
"471","5","3","MIL"
"472","3","1","MIL"
"473","1","1","WSN"
"474","2","2","MIL"
"475","7","2","MIL"
"476","6","3","MIL"
"477","11","3","MIL"
"478","8","2","MIL"
"479","6","3","MIL"
"480","3","3","MIL"
"481","2","2","WSN"
"482","5","2","MIL"
"483","5","1","MIL"
"484","10","2","MIL"
"485","6","4","MIL"
"486","7","2","MIL"
"487","8","0","MIL"
"488","10","0","MIL"
"489","4","5","WSN"
"490","4","5","WSN"
"491","9","1","MIL"
"492","5","4","MIL"
"493","5","1","MIL"
"494","0","1","WSN"
"495","10","1","MIL"
"496","1","1","WSN"
"497","6","0","MIL"
"498","1","8","WSN"
"499","0","1","WSN"
"500","2","0","MIL"
"501","4","6","WSN"
"502","1","1","MIL"
"503","2","0","MIL"
"504","5","3","MIL"
"505","2","6","WSN"
"506","7","1","MIL"
"507","7","2","MIL"
"508","5","4","MIL"
"509","1","3","WSN"
"510","6","4","MIL"
"511","7","1","MIL"
"512","1","1","WSN"
"513","1","2","WSN"
"514","4","2","MIL"
"515","10","2","MIL"
"516","6","1","MIL"
"517","6","1","MIL"
"518","3","0","MIL"
"519","4","2","MIL"
"520","8","9","WSN"
"521","8","0","MIL"
"522","8","4","MIL"
"523","3","7","WSN"
"524","4","2","MIL"
"525","3","2","MIL"
"526","2","2","MIL"
"527","5","8","WSN"
"528","1","4","WSN"
"529","2","2","WSN"
"530","5","2","MIL"
"531","2","2","MIL"
"532","5","6","WSN"
"533","4","1","MIL"
"534","1","4","WSN"
"535","6","4","MIL"
"536","5","4","MIL"
"537","1","3","WSN"
"538","1","3","WSN"
"539","2","0","MIL"
"540","4","3","MIL"
"541","2","4","WSN"
"542","1","5","WSN"
"543","2","8","WSN"
"544","11","4","MIL"
"545","6","5","MIL"
"546","4","1","MIL"
"547","13","11","MIL"
"548","4","7","WSN"
"549","7","5","MIL"
"550","5","5","MIL"
"551","9","5","MIL"
"552","1","2","WSN"
"553","1","2","WSN"
"554","1","1","WSN"
"555","2","2","MIL"
"556","4","6","WSN"
"557","0","2","WSN"
"558","6","2","MIL"
"559","2","6","WSN"
"560","6","7","WSN"
"561","0","4","WSN"
"562","12","0","MIL"
"563","4","0","MIL"
"564","8","0","MIL"
"565","7","6","MIL"
"566","6","1","MIL"
"567","5","0","MIL"
"568","1","3","WSN"
"569","1","1","WSN"
"570","7","7","WSN"
"571","5","3","MIL"
"572","10","7","MIL"
"573","5","7","WSN"
"574","0","0","WSN"
"575","9","5","MIL"
"576","7","2","MIL"
"577","8","3","MIL"
"578","2","3","WSN"
"579","5","0","MIL"
"580","8","1","MIL"
"581","6","4","MIL"
"582","3","1","MIL"
"583","8","3","MIL"
"584","3","2","MIL"
"585","6","3","MIL"
"586","2","1","MIL"
"587","11","1","MIL"
"588","6","4","MIL"
"589","5","5","MIL"
"590","10","3","MIL"
"591","3","3","WSN"
"592","3","5","WSN"
"593","5","2","MIL"
"594","6","1","MIL"
"595","2","1","MIL"
"596","6","0","MIL"
"597","5","4","MIL"
"598","3","3","WSN"
"599","1","3","WSN"
"600","2","4","WSN"
"601","7","1","MIL"
"602","9","3","MIL"
"603","14","3","MIL"
"604","6","1","MIL"
"605","5","3","MIL"
"606","1","2","WSN"
"607","8","1","MIL"
"608","2","8","WSN"
"609","8","0","MIL"
"610","5","4","MIL"
"611","3","2","MIL"
"612","6","2","MIL"
"613","8","1","MIL"
"614","0","3","WSN"
"615","6","1","MIL"
"616","3","2","MIL"
"617","6","4","MIL"
"618","0","4","WSN"
"619","2","5","WSN"
"620","4","0","MIL"
"621","6","3","MIL"
"622","6","0","MIL"
"623","4","8","WSN"
"624","8","0","MIL"
"625","11","2","MIL"
"626","8","0","MIL"
"627","4","1","MIL"
"628","1","4","WSN"
"629","4","3","MIL"
"630","6","1","MIL"
"631","2","0","MIL"
"632","3","2","MIL"
"633","4","2","MIL"
"634","7","4","MIL"
"635","7","1","MIL"
"636","3","2","MIL"
"637","3","1","MIL"
"638","3","6","WSN"
"639","7","4","MIL"
"640","1","4","WSN"
"641","2","3","WSN"
"642","2","2","WSN"
"643","1","5","WSN"
"644","6","4","MIL"
"645","5","3","MIL"
"646","4","1","MIL"
"647","5","4","MIL"
"648","8","2","MIL"
"649","7","1","MIL"
"650","7","5","MIL"
"651","4","3","MIL"
"652","1","8","WSN"
"653","8","2","MIL"
"654","10","0","MIL"
"655","8","0","MIL"
"656","8","2","MIL"
"657","2","3","WSN"
"658","1","1","WSN"
"659","1","6","WSN"
"660","2","3","WSN"
"661","0","5","WSN"
"662","3","2","MIL"
"663","9","9","MIL"
"664","3","7","WSN"
"665","5","4","MIL"
"666","10","3","MIL"
"667","5","8","WSN"
"668","1","2","WSN"
"669","2","0","MIL"
"670","6","7","WSN"
"671","14","3","MIL"
"672","6","1","MIL"
"673","3","3","MIL"
"674","6","3","MIL"
"675","3","0","MIL"
"676","4","6","WSN"
"677","0","3","WSN"
"678","4","2","MIL"
"679","3","2","MIL"
"680","8","6","MIL"
"681","2","6","WSN"
"682","9","1","MIL"
"683","9","1","MIL"
"684","6","0","MIL"
"685","4","5","WSN"
"686","2","0","MIL"
"687","6","6","WSN"
"688","7","3","MIL"
"689","3","4","WSN"
"690","5","1","MIL"
"691","6","5","MIL"
"692","2","3","WSN"
"693","10","7","MIL"
"694","4","3","MIL"
"695","7","1","MIL"
"696","3","1","MIL"
"697","5","4","MIL"
"698","9","2","MIL"
"699","4","1","MIL"
"700","4","1","MIL"
"701","6","7","WSN"
"702","6","3","MIL"
"703","8","1","MIL"
"704","2","3","WSN"
"705","7","5","MIL"
"706","5","1","MIL"
"707","1","2","WSN"
"708","3","3","MIL"
"709","5","1","MIL"
"710","1","7","WSN"
"711","1","4","WSN"
"712","1","4","WSN"
"713","3","3","WSN"
"714","8","2","MIL"
"715","3","7","WSN"
"716","1","1","MIL"
"717","4","0","MIL"
"718","2","3","WSN"
"719","1","4","WSN"
"720","7","6","MIL"
"721","0","6","WSN"
"722","2","3","WSN"
"723","6","4","MIL"
"724","7","1","MIL"
"725","3","1","MIL"
"726","5","4","MIL"
"727","8","9","WSN"
"728","1","0","MIL"
"729","3","4","WSN"
"730","7","2","MIL"
"731","11","4","MIL"
"732","3","2","MIL"
"733","1","0","MIL"
"734","1","2","WSN"
"735","11","10","MIL"
"736","5","3","MIL"
"737","2","9","WSN"
"738","12","0","MIL"
"739","3","9","WSN"
"740","7","3","MIL"
"741","4","4","WSN"
"742","2","1","MIL"
"743","6","0","MIL"
"744","3","0","MIL"
"745","8","6","MIL"
"746","4","3","MIL"
"747","9","8","MIL"
