"","TBR","HOU","Series Winner"
"266","3","0","TBR"
"267","1","3","HOU"
"268","1","3","HOU"
"269","2","3","HOU"
"270","1","3","HOU"
"271","3","1","TBR"
"272","0","3","HOU"
"273","2","3","HOU"
"274","0","3","HOU"
"275","2","3","HOU"
"276","2","3","HOU"
"277","2","3","HOU"
"278","0","3","HOU"
"279","1","3","HOU"
"280","0","3","HOU"
"281","2","3","HOU"
"282","0","3","HOU"
"283","0","3","HOU"
"284","2","3","HOU"
"285","0","3","HOU"
"286","1","3","HOU"
"287","2","3","HOU"
"288","2","3","HOU"
"289","1","3","HOU"
"290","3","2","TBR"
"291","2","3","HOU"
"292","0","3","HOU"
"293","3","1","TBR"
"294","3","1","TBR"
"295","3","2","TBR"
"296","3","2","TBR"
"297","0","3","HOU"
"298","0","3","HOU"
"299","0","3","HOU"
"300","2","3","HOU"
"301","2","3","HOU"
"302","1","3","HOU"
"303","0","3","HOU"
"304","0","3","HOU"
"305","3","0","TBR"
"306","2","3","HOU"
"307","1","3","HOU"
"308","2","3","HOU"
"309","0","3","HOU"
"310","1","3","HOU"
"311","0","3","HOU"
"312","1","3","HOU"
"313","3","1","TBR"
"314","3","0","TBR"
"315","0","3","HOU"
"316","0","3","HOU"
"317","1","3","HOU"
"318","0","3","HOU"
"319","3","2","TBR"
"320","3","1","TBR"
"321","3","2","TBR"
"322","0","3","HOU"
"323","0","3","HOU"
"324","2","3","HOU"
"325","2","3","HOU"
"326","0","3","HOU"
"327","2","3","HOU"
"328","3","1","TBR"
"329","0","3","HOU"
"330","0","3","HOU"
"331","0","3","HOU"
"332","0","3","HOU"
"333","2","3","HOU"
"334","0","3","HOU"
"335","2","3","HOU"
"336","0","3","HOU"
"337","2","3","HOU"
"338","0","3","HOU"
"339","3","2","TBR"
"340","3","1","TBR"
"341","2","3","HOU"
"342","3","1","TBR"
"343","0","3","HOU"
"344","3","1","TBR"
"345","2","3","HOU"
"346","3","0","TBR"
"347","0","3","HOU"
"348","2","3","HOU"
"349","1","3","HOU"
"350","2","3","HOU"
"351","0","3","HOU"
"352","2","3","HOU"
"353","3","2","TBR"
"354","2","3","HOU"
"355","2","3","HOU"
"356","1","3","HOU"
"357","2","3","HOU"
"358","1","3","HOU"
"359","1","3","HOU"
"360","2","3","HOU"
"361","3","1","TBR"
"362","0","3","HOU"
"363","3","0","TBR"
"364","2","3","HOU"
"365","3","1","TBR"
"366","1","3","HOU"
"367","0","3","HOU"
"368","0","3","HOU"
"369","3","1","TBR"
"370","2","3","HOU"
"371","2","3","HOU"
"372","2","3","HOU"
"373","1","3","HOU"
"374","3","2","TBR"
"375","2","3","HOU"
"376","1","3","HOU"
"377","3","1","TBR"
"378","3","1","TBR"
"379","2","3","HOU"
"380","2","3","HOU"
"381","0","3","HOU"
"382","2","3","HOU"
"383","0","3","HOU"
"384","2","3","HOU"
"385","1","3","HOU"
"386","2","3","HOU"
"387","0","3","HOU"
"388","0","3","HOU"
"389","0","3","HOU"
"390","2","3","HOU"
"391","2","3","HOU"
"392","2","3","HOU"
"393","1","3","HOU"
"394","0","3","HOU"
"395","0","3","HOU"
"396","0","3","HOU"
"397","0","3","HOU"
"398","3","2","TBR"
"399","3","2","TBR"
"400","3","2","TBR"
"401","2","3","HOU"
"402","3","1","TBR"
"403","3","2","TBR"
"404","2","3","HOU"
"405","1","3","HOU"
"406","3","1","TBR"
"407","2","3","HOU"
"408","1","3","HOU"
"409","1","3","HOU"
"410","0","3","HOU"
"411","0","3","HOU"
"412","2","3","HOU"
"413","1","3","HOU"
"414","2","3","HOU"
"415","0","3","HOU"
"416","1","3","HOU"
"417","2","3","HOU"
"418","0","3","HOU"
"419","3","1","TBR"
"420","1","3","HOU"
"421","3","1","TBR"
"422","3","1","TBR"
"423","1","3","HOU"
"424","0","3","HOU"
"425","2","3","HOU"
"426","1","3","HOU"
"427","1","3","HOU"
"428","0","3","HOU"
"429","1","3","HOU"
"430","3","1","TBR"
"431","0","3","HOU"
"432","1","3","HOU"
"433","3","2","TBR"
"434","0","3","HOU"
"435","0","3","HOU"
"436","2","3","HOU"
"437","2","3","HOU"
"438","3","2","TBR"
"439","0","3","HOU"
"440","0","3","HOU"
"441","3","2","TBR"
"442","2","3","HOU"
"443","0","3","HOU"
"444","2","3","HOU"
"445","3","2","TBR"
"446","3","2","TBR"
"447","1","3","HOU"
"448","0","3","HOU"
"449","3","1","TBR"
"450","1","3","HOU"
"451","3","1","TBR"
"452","3","1","TBR"
"453","2","3","HOU"
"454","2","3","HOU"
"455","3","1","TBR"
"456","0","3","HOU"
"457","0","3","HOU"
"458","2","3","HOU"
"459","0","3","HOU"
"460","3","1","TBR"
"461","1","3","HOU"
"462","1","3","HOU"
"463","0","3","HOU"
"464","1","3","HOU"
"465","0","3","HOU"
"466","3","2","TBR"
"467","2","3","HOU"
"468","0","3","HOU"
"469","3","1","TBR"
"470","0","3","HOU"
"471","2","3","HOU"
"472","0","3","HOU"
"473","0","3","HOU"
"474","1","3","HOU"
"475","1","3","HOU"
"476","3","1","TBR"
"477","2","3","HOU"
"478","3","1","TBR"
"479","1","3","HOU"
"480","0","3","HOU"
"481","3","1","TBR"
