Rk,Name,Age,Tm,PA,H,2B,3B,HR,BB,HBP
91,Edubray Ramos\ramosed02,26,PHI,0,0,0,0,0,0,0
92,Tanner Rainey\raineta01,26,WSN,1,0,0,0,0,0,0
93,Jose Quintana\quintjo01,30,CHC,63,5,1,0,0,0,0
94,Jose Quijada*\quijajo01,23,MIA,1,0,0,0,0,0,0
95,Cal Quantrill*\quantca01,24,SDP,30,2,0,0,0,1,0
96,Daniel Ponce de Leon\ponceda01,27,STL,12,0,0,0,0,1,0
97,Drew Pomeranz\pomerdr01,30,TOT,20,0,0,0,0,0,0
98,Nick Pivetta\pivetni01,26,PHI,27,2,0,0,0,1,0
99,David Phelps\phelpda01,32,CHC,0,0,0,0,0,0,0
100,Luis Perdomo\perdolu02,26,SDP,7,1,0,0,0,0,0
101,Wandy Peralta*\peralwa01,27,TOT,0,0,0,0,0,0,0
102,Freddy Peralta\peralfr01,23,MIL,16,2,0,0,0,0,0
103,James Pazos\pazosja01,28,COL,0,0,0,0,0,0,0
104,Wes Parsons\parsowe01,26,TOT,3,0,0,0,0,1,0
105,Blake Parker\parkebl01,34,PHI,1,0,0,0,0,0,0
106,Chris Paddack\paddach01,23,SDP,46,5,0,0,0,0,0
107,Seunghwan Oh\ohse01,36,COL,0,0,0,0,0,0,0
108,Scott Oberg\obergsc01,29,COL,1,0,0,0,0,0,0
109,Aaron Nola\nolaaa01,26,PHI,70,7,2,0,0,6,0
110,Hector Noesi\noesihe01,32,MIA,5,1,0,0,0,0,0
111,Juan Nicasio\nicasju01,32,PHI,2,0,0,0,0,0,0
112,Sean Newcomb*\newcose01,26,ATL,8,0,0,0,0,0,0
113,Dovydas Neverauskas\neverdo01,26,PIT,0,0,0,0,0,0,0
114,Pat Neshek#\neshepa01,38,PHI,0,0,0,0,0,0,0
115,Hector Neris\nerishe01,30,PHI,1,0,0,0,0,0,0
116,Jimmy Nelson\nelsoji02,30,MIL,3,0,0,0,0,0,0
117,Joe Musgrove\musgrjo01,26,PIT,61,8,2,1,0,2,0
118,Harrison Musgrave*\musgrha01,27,COL,0,0,0,0,0,0,0
119,Andres Munoz\munozan01,20,SDP,0,0,0,0,0,0,0
120,Reyes Moronta\moronre01,26,SFG,0,0,0,0,0,0,0
121,Mike Morin\morinmi01,28,PHI,0,0,0,0,0,0,0
122,Adam Morgan*\morgaad01,29,PHI,0,0,0,0,0,0,0
