Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
35,P,Dennis Santana\santade01,23,3,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,168,1,0,0,0,0,0,LAD
36,P,Yimi Garcia\garciyi01,28,61,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,1,0,0,0,0,LAD
37,P,Caleb Ferguson\ferguca01,22,42,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1.5,282,2,0,0,0,0,0,LAD
38,P,Dylan Floro*\florody01,28,46,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,LAD
39,P,Kenley Jansen#\janseke01,31,59,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,LAD
40,P,JT Chargois#\chargjt01,28,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,LAD
41,P,Scott Alexander*\alexasc02,29,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,LAD
42,P,Jaime Schultz\schulja02,28,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,LAD
43,P,Zac Rosscup\rosscza01,31,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,LAD
44,P,Adam Kolarek*\kolarad01,30,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,LAD
45,P,Pedro Baez\baezpe01,31,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,LAD
46,P,Josh Sborz\sborzjo01,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,LAD
,,Team Totals,27.9,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,112,2593,100,81,55,45,47,LAD
,,Rank in 15 NL teams,,,,11,1,7,4,12,1,,11,1,3,3,5,2,1,1,,1,,4,,1,,LAD
,,Non-Pitcher Totals,27.8,162,5917,5194,869,1367,295,20,277,844,57,10,594,1236,0.263,0.345,0.488,0.833,118,2533,98,81,2,45,47,LAD
,,Pitcher Totals,29,162,365,299,17,47,7,0,2,17,0,0,13,120,0.157,0.192,0.201,0.393,5,60,2,0,53,0,0,LAD
